上级地域  地域  MVGeoID
陕西省 铜川市 1156610200
陕西省 宝鸡市 1156610300
陕西省 咸阳市 1156610400
陕西省 渭南市 1156610500
陕西省 延安市 1156610600
陕西省 汉中市 1156610700
陕西省 榆林市 1156610800
陕西省 安康市 1156610900
陕西省 商洛市 1156611000
甘肃省 甘肃省 1156620000
甘肃省 兰州市 1156620100
甘肃省 嘉峪关市  1156620200
甘肃省 金昌市 1156620300
甘肃省 白银市 1156620400
甘肃省 天水市 1156620500
甘肃省 武威市 1156620600
甘肃省 张掖市 1156620700
甘肃省 平凉市 1156620800
甘肃省 酒泉市 1156620900
甘肃省 庆阳市 1156621000
甘肃省 定西市 1156621100
甘肃省 陇南市 1156621200
甘肃省 临夏回族自治州 1156622900
甘肃省 甘南藏族自治州 1156623000
青海省 青海省 1156630000
青海省 西宁市 1156630100
青海省 海东地区  1156632100
青海省 海北藏族自治州 1156632200
青海省 黄南藏族自治州 1156632300
青海省 海南藏族自治州 1156632500
青海省 果洛藏族自治州 1156632600
青海省 玉树藏族自治州 1156632700
青海省 海西蒙古族藏族自治州  1156632800
宁夏回族自治区 宁夏回族自治区 1156640000
宁夏回族自治区 银川市 1156640100
宁夏回族自治区 石嘴山市  1156640200
宁夏回族自治区 吴忠市 1156640300
宁夏回族自治区 固原市 1156640400
宁夏回族自治区 中卫市 1156640500
新疆维吾尔自治区  新疆维吾尔自治区  1156650000
新疆维吾尔自治区  乌鲁木齐市 1156650100
新疆维吾尔自治区  克拉玛依市 1156650200
新疆维吾尔自治区  吐鲁番地区 1156652100
新疆维吾尔自治区  哈密地区  1156652200
新疆维吾尔自治区  昌吉回族自治州 1156652300
新疆维吾尔自治区  博尔塔拉蒙古自治州 1156652700
新疆维吾尔自治区  巴音郭楞蒙古自治州 1156652800
新疆维吾尔自治区  阿克苏地区 1156652900
新疆维吾尔自治区  克孜勒苏柯尔克孜自治州 1156653000
新疆维吾尔自治区  喀什地区  1156653100
新疆维吾尔自治区  和田地区  1156653200
新疆维吾尔自治区  伊犁哈萨克自治州  1156654000
新疆维吾尔自治区  塔城地区  1156654200
新疆维吾尔自治区  阿勒泰地区 1156654300
新疆维吾尔自治区  自治区直辖县级行政区划 1156659000
全球  安道尔 1020000000
全球  阿联酋 1784000000
全球  阿富汗 1004000000
全球  安提瓜和巴布达 1028000000
全球  安圭拉 1660000000
全球  阿尔巴尼亚 1008000000
全球  亚美尼亚  1051000000
全球  安哥拉 1024000000
全球  南极洲 1010000000
全球  阿根廷 1032000000
全球  美属萨摩亚 1016000000
全球  奥地利 1040000000
全球  澳大利亚  1036000000
全球  阿鲁巴 1533000000
全球  奥兰群岛  1248000000
全球  阿塞拜疆  1031000000
全球  波黑  1070000000
全球  巴巴多斯  1052000000
全球  孟加拉 1050000000
全球  比利时 1056000000
全球  布基纳法索 1854000000
全球  保加利亚  1100000000
全球  巴林  1048000000
全球  布隆迪 1108000000
全球  贝宁  1204000000
全球  圣巴泰勒米岛  1652000000
全球  百慕大 1060000000
全球  文莱  1096000000
全球  玻利维亚  1068000000
全球  荷兰加勒比区  1535000000
全球  巴西  1076000000
全球  巴哈马 1044000000
全球  不丹  1064000000
全球  布韦岛 1074000000
全球  博茨瓦纳  1072000000
全球  白俄罗斯  1112000000
全球  伯利兹 1084000000
全球  加拿大 1124000000
全球  科科斯群岛 1166000000
全球  刚果（金） 1180000000
全球  中非  1140000000
全球  刚果（布） 1178000000
全球  瑞士  1756000000
全球  科特迪瓦  1384000000
全球  库克群岛  1184000000
全球  智利  1152000000
全球  喀麦隆 1120000000
全球  中国  1156000000
全球  哥伦比亚  1170000000
全球  哥斯达黎加 1188000000
全球  古巴  1192000000
全球  佛得角 1132000000
全球  圣诞岛 1162000000
全球  塞浦路斯  1196000000
全球  捷克  1203000000
全球  德国  1276000000
全球  吉布提 1262000000
全球  丹麦  1208000000
全球  多米尼克  1212000000
全球  多米尼加  1214000000
全球  阿尔及利亚 1012000000
全球  厄瓜多尔  1218000000
全球  爱沙尼亚  1233000000
全球  埃及  1818000000
全球  西撒哈拉  1732000000
全球  厄立特里亚 1232000000
全球  西班牙 1724000000
全球  埃塞俄比亚 1231000000
全球  芬兰  1246000000
全球  斐济群岛  1242000000
全球  马尔维纳斯群岛（福克兰）  1238000000
全球  密克罗尼西亚联邦  1583000000
全球  法罗群岛  1234000000
全球  法国  1250000000
全球  加蓬  1266000000
全球  英国  1826000000
全球  格林纳达  1308000000
全球  格鲁吉亚  1268000000
全球  法属圭亚那 1254000000
全球  根西岛 1831000000
全球  加纳  1288000000
全球  直布罗陀  1292000000
全球  格陵兰 1304000000
全球  冈比亚 1270000000
全球  几内亚 1324000000
全球  瓜德罗普  1312000000
全球  赤道几内亚 1226000000
全球  希腊  1300000000
全球  南乔治亚岛和南桑威奇群岛  1239000000
全球  危地马拉  1320000000
全球  关岛  1316000000
全球  几内亚比绍 1624000000
全球  圭亚那 1328000000
全球  香港  1344000000
全球  赫德岛和麦克唐纳群岛  1334000000
全球  洪都拉斯  1340000000
全球  克罗地亚  1191000000
全球  海地  1332000000
全球  匈牙利 1348000000
全球  印尼  1360000000
全球  爱尔兰 1372000000
全球  以色列 1376000000
全球  马恩岛 1833000000
全球  印度  1356000000
全球  英属印度洋领地 1086000000
全球  伊拉克 1368000000
全球  伊朗  1364000000
全球  冰岛  1352000000
全球  意大利 1380000000
全球  泽西岛 1832000000
全球  牙买加 1388000000
全球  约旦  1400000000
全球  日本  1392000000
全球  肯尼亚 1404000000
全球  吉尔吉斯斯坦  1417000000
全球  柬埔寨 1116000000
全球  基里巴斯  1296000000
全球  科摩罗 1174000000
全球  圣基茨和尼维斯 1659000000
全球  朝鲜  1408000000
全球  韩国  1410000000
全球  科威特 1414000000
全球  开曼群岛  1136000000
全球  哈萨克斯坦 1398000000
全球  老挝  1418000000
全球  黎巴嫩 1422000000
全球  圣卢西亚  1662000000
全球  列支敦士登 1438000000
全球  斯里兰卡  1144000000
全球  利比里亚  1430000000
全球  莱索托 1426000000
全球  立陶宛 1440000000
全球  卢森堡 1442000000
全球  拉脱维亚  1428000000
全球  利比亚 1434000000
全球  摩洛哥 1504000000
全球  摩纳哥 1492000000
全球  摩尔多瓦  1498000000
全球  黑山  1499000000
全球  法属圣马丁 1663000000
全球  马达加斯加 1450000000
全球  马绍尔群岛 1584000000
全球  马其顿 1807000000
全球  马里  1466000000
全球  缅甸  1104000000
全球  蒙古国；蒙古  1496000000
全球  澳门  1446000000
全球  北马里亚纳群岛 1580000000
全球  马提尼克  1474000000
全球  毛里塔尼亚 1478000000
全球  蒙塞拉特岛 1500000000
全球  马耳他 1470000000
全球  毛里求斯  1480000000
全球  马尔代夫  1462000000
全球  马拉维 1454000000
全球  墨西哥 1484000000
全球  马来西亚  1458000000
